name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Blackwell,Valid,L5,2381,Fell,01/01/1906 12:00:00 AM,36.83333,-97.33333,"(36.833330, -97.333330)"
Blanket,Valid,L6,5100,Fell,01/01/1909 12:00:00 AM,31.83333,-98.83333,"(31.833330, -98.833330)"
Blansko,Valid,H6,470,Fell,01/01/1833 12:00:00 AM,49.36667,16.63333,"(49.366670, 16.633330)"
Bloomington,Valid,LL6,67.8,Fell,01/01/1938 12:00:00 AM,40.48,-89.00417,"(40.480000, -89.004170)"
Bo Xian,Valid,LL3.9,7500,Fell,01/01/1977 12:00:00 AM,33.83333,115.83333,"(33.833330, 115.833330)"
Bocas,Valid,L6,56,Fell,01/01/1804 12:00:00 AM,23,-102,"(23.000000, -102.000000)"
Bogou,Valid,"Iron, IAB-MG",8800,Fell,01/01/1962 12:00:00 AM,12.5,0.7,"(12.500000, 0.700000)"
Boguslavka,Valid,"Iron, IIAB",256000,Fell,01/01/1916 12:00:00 AM,44.55,131.63333,"(44.550000, 131.633330)"
Borgo San Donino,Valid,LL6,1676,Fell,01/01/1808 12:00:00 AM,44.86667,10.05,"(44.866670, 10.050000)"
Bori,Valid,L6,8600,Fell,01/01/1894 12:00:00 AM,21.95,78.03333,"(21.950000, 78.033330)"
Boriskino,Valid,CM2,1342,Fell,01/01/1930 12:00:00 AM,54.23333,52.48333,"(54.233330, 52.483330)"
Borkut,Valid,L5,7000,Fell,01/01/1852 12:00:00 AM,48.15,24.28333,"(48.150000, 24.283330)"
Borodino,Valid,H5,500,Fell,01/01/1812 12:00:00 AM,55.46667,35.86667,"(55.466670, 35.866670)"
Botschetschki,Valid,L4,614,Fell,01/01/1823 12:00:00 AM,51.33333,33.88333,"(51.333330, 33.883330)"
Boumdeid (2003),Valid,L6,190,Fell,01/01/2003 12:00:00 AM,17.71067,-11.3715,"(17.710670, -11.371500)"
Boumdeid (2011),Valid,L6,3599,Fell,01/01/2011 12:00:00 AM,17.17493,-11.34133,"(17.174930, -11.341330)"
Bovedy,Valid,L3,5460,Fell,01/01/1969 12:00:00 AM,54.56667,-6.33333,"(54.566670, -6.333330)"
Bradford Woods,Valid,L,762,Fell,01/01/1886 12:00:00 AM,40.5,-80.08333,"(40.500000, -80.083330)"
Braunau,Valid,"Iron, IIAB",39000,Fell,01/01/1847 12:00:00 AM,50.6,16.3,"(50.600000, 16.300000)"
Breitscheid,Valid,H5,1500,Fell,01/01/1956 12:00:00 AM,50.66694,8.18361,"(50.666940, 8.183610)"
Bremervörde,Valid,H/L3.9,7250,Fell,01/01/1855 12:00:00 AM,53.4,9.1,"(53.400000, 9.100000)"
Brient,Valid,Eucrite-pmict,219,Fell,01/01/1933 12:00:00 AM,52.13333,59.31667,"(52.133330, 59.316670)"
Bruderheim,Valid,L6,303000,Fell,01/01/1960 12:00:00 AM,53.9,-112.88333,"(53.900000, -112.883330)"
Bukhara,Valid,CV3,5300,Fell,01/01/2001 12:00:00 AM,39.77978,64.60035,"(39.779780, 64.600350)"
Bulls Run,Valid,Iron?,2250,Fell,01/01/1964 12:00:00 AM,,,
Bunburra Rockhole,Valid,Eucrite,324,Fell,01/01/2007 12:00:00 AM,-31.35,129.19,"(-31.350000, 129.190000)"
Bununu,Valid,Howardite,357,Fell,01/01/1942 12:00:00 AM,10.01667,9.58333,"(10.016670, 9.583330)"
Bur-Gheluai,Valid,H5,120000,Fell,01/01/1919 12:00:00 AM,5,48,"(5.000000, 48.000000)"
Burnwell,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.62194,-82.23722,"(37.621940, -82.237220)"
Bursa,Valid,L6,25000,Fell,01/01/1946 12:00:00 AM,40.2,29.23333,"(40.200000, 29.233330)"
Buschhof,Valid,L6,5000,Fell,01/01/1863 12:00:00 AM,46.45,25.78333,"(46.450000, 25.783330)"
Bustee,Valid,Aubrite,1500,Fell,01/01/1852 12:00:00 AM,26.78333,82.83333,"(26.783330, 82.833330)"
Butsura,Valid,H6,29000,Fell,01/01/1861 12:00:00 AM,27.08333,84.08333,"(27.083330, 84.083330)"
Buzzard Coulee,Valid,H4,41000,Fell,01/01/2008 12:00:00 AM,52.996,-109.84817,"(52.996000, -109.848170)"
Cabezo de Mayo,Valid,L/LL6,25000,Fell,01/01/1870 12:00:00 AM,37.98333,-1.16667,"(37.983330, -1.166670)"
Cabin Creek,Valid,"Iron, IIIAB",48500,Fell,01/01/1886 12:00:00 AM,35.5,-93.5,"(35.500000, -93.500000)"
Cacak,Valid,OC,212,Fell,01/01/1919 12:00:00 AM,43.83889,20.33333,"(43.838890, 20.333330)"
Cali,Valid,H/L4,478,Fell,01/01/2007 12:00:00 AM,3.405,-76.51,"(3.405000, -76.510000)"
Calivo,Valid,Stone-uncl,2400,Fell,01/01/1916 12:00:00 AM,11.75,122.33333,"(11.750000, 122.333330)"
Campos Sales,Valid,L5,23680,Fell,01/01/1991 12:00:00 AM,-7.03333,-40.16667,"(-7.033330, -40.166670)"
Çanakkale,Valid,L6,4000,Fell,01/01/1964 12:00:00 AM,39.8,26.6,"(39.800000, 26.600000)"
Cañellas,Valid,H4,945,Fell,01/01/1861 12:00:00 AM,41.25,1.66667,"(41.250000, 1.666670)"
Cangas de Onis,Valid,H5,34000,Fell,01/01/1866 12:00:00 AM,43.38333,-5.15,"(43.383330, -5.150000)"
